ID,DEPARTAMENTO,CABECERA,PROVINCIA
379,"BIEDMA","PUERTOMADRYN","CHUBUT"
380,"TELSEN","TELSEN","CHUBUT"
381,"GASTRE","GASTRE","CHUBUT"
382,"ELCUY","ELCUY","RIONEGRO"
383,"PILCANIYEU","PILCANIYEU","RIONEGRO"
384,"CALAMUCHITA","SANAGUSTIN","CORDOBA"
385,"ADOLFOALSINA","CARHUE","BUENOSAIRES"
386,"RIVADAVIA","AMERICA","BUENOSAIRES"
387,"PELLEGRINI","PELLEGRINI","BUENOSAIRES"
388,"PUAN","PUAN","BUENOSAIRES"
389,"VILLARINO","MEDANOS","BUENOSAIRES"
390,"MARACO","GENERALPICO","LAPAMPA"
391,"QUEMUQUEMU","QUEMUQUEMU","LAPAMPA"
392,"CATRILO","CATRILO","LAPAMPA"
393,"CALEUCALEU","LAADELA","LAPAMPA"
394,"GUATRACHE","GUATRACHE","LAPAMPA"
395,"HUCAL","BERNASCONI","LAPAMPA"
396,"PATAGONES","CARMENDEPATAGONES","BUENOSAIRES"
397,"CHAPALEUFU","INTENDENTEALVEAR","LAPAMPA"
398,"IGUAZU","PUERTOESPERANZA","MISIONES"
399,"IRIONDO","CAYADADEGOMEZ","SANTAFE"
400,"SANJUSTO","SANJUSTO","SANTAFE"
401,"LASCOLONIAS","ESPERANZA","SANTAFE"
402,"SARMIENTO","VILLAMEDIAAGUA","SANJUAN"
403,"LASHERAS","LASHERAS","MENDOZA"
404,"LAVALLE","VILLATULUMAYA","MENDOZA"
405,"MALARGUE","MALARGUE","MENDOZA"
406,"SANJERONIMO","CORONDA","SANTAFE"
407,"GENERALLOPEZ","MELINCUE","SANTAFE"
408,"ROSARIO","ROSARIO","SANTAFE"
409,"SANLORENZO","CORONDA","SANTAFE"
410,"PICHIMAHUIDA","RIOCOLORADO","RIONEGRO"
411,"ADOLFOALSINA","VIEDMA","RIONEGRO"
412,"USHUAIA","USHUAIA","TIERRADELFUEGO"
413,"RIOSENGUER","ALTORIOSENGUER","CHUBUT"
414,"BARILOCHE","SANCARLOSDEBARILOCHE","RIONEGRO"
415,"GARAY","HELVENCIA","SANTAFE"
416,"SANJAVIER","SANJAVIER","SANTAFE"
417,"VERA","VERA","SANTAFE"
418,"CASTELLANOS","RAFAELA","SANTAFE"
419,"BELGRANO","LASROSAS","SANTAFE"
420,"CASEROS","CASILDA","SANTAFE"
421,"9DEJULIO","TOSTADO","SANTAFE"
422,"SANMARTIN","SASTRE","SANTAFE"
423,"GENERALOBLIGADO","RECONQUISTA","SANTAFE"
424,"LACAPITAL","SANTAFE","SANTAFE"
425,"CONSTITUCION","VILLACONSTITUCION","SANTAFE"
426,"LOSANDES","LOSANDES","SALTA"
427,"SUSQUES","SUSQUES","JUJUY"
428,"SANFERNANDO","RESISTENCIA","CHACO"
429,"SANCOSME","SANCOSME","CORRIENTES"
430,"LAPOMA","LAPOMA","SALTA"
431,"CHACABUCO","CONCARAN","SANLUIS"
432,"JUANMARTINDEPUEYRREDON","SANLUIS","SANLUIS"
433,"GENERALPEDERNERA","VILLAMERCEDES","SANLUIS"
