ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
319,"GENERALDONOVAN","MAKALLE","CHACO",11765
320,"RAWSON","RAWSON","CHUBUT",227
321,"TEHUELCHES","JOSEDESANMARTIN","CHUBUT",19579
322,"ESCALANTE","COMODORORIVADAVIA","CHUBUT",89
323,"FLORENTINOAMEGHINO","CAMARONES","CHUBUT",602
324,"25DEMAYO","MACHAGAI","CHACO",14
325,"GENERALLAMADRID","VILLACASTELLI","LARIOJA",140
326,"CALINGASTA","TAMBERIAS","SANJUAN",514
327,"MAIPU","TRESISLETAS","CHACO",0
328,"1DEMAYO","MARGARITABELEN","CHACO",243
329,"TULUMBA","VILLATULUMBA","CORDOBA",1111
330,"ISCHILIN","DEANFUNES","CORDOBA",610
331,"TOTORAL","VILLADELTOTORAL","CORDOBA",1226
332,"CRUZDELEJE","CRUZDELEJE","CORDOBA",11620
333,"COLON","JESUSMARIA","CORDOBA",8573
334,"PUNILLA","COSQUIN","CORDOBA",84180
335,"CAPITAL","CORDOBA","CORDOBA",10278
336,"GENERALSANMARTIN","VILLAMARIA","CORDOBA",5257
337,"SANTAMARIA","ALTAGRACIA","CORDOBA",89
338,"MINAS","SANCARLOSMINAS","CORDOBA",77
339,"POCHO","SALSACATE","CORDOBA",1145
340,"SANALBERTO","VILLACURABROCHERO","CORDOBA",1508
341,"SANJAVIER","VILLADOLORES","CORDOBA",5793
342,"RIOSEGUNDO","VILLADELROSARIO","CORDOBA",15321
343,"SANJUSTO","SANFRANCISCO","CORDOBA",5619
344,"UNION","BELVILLE","CORDOBA",2545
345,"RIOPRIMERO","SANTAROSADERIOPRIMERO","CORDOBA",7017
346,"MARCOSJUAREZ","MARCOSJUAREZ","CORDOBA",16476
347,"RIOCUARTO","RIOCUARTO","CORDOBA",26
348,"ANTOFAGASTADELASIERRA","ANTOFAGASTADELASIERRA","CATAMARCA",130
349,"TINOGASTA","TINOGASTA","CATAMARCA",1389
350,"GENERALROCA","VILLAHUIDOBRO","CORDOBA",0
